sample_id,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
R21043026,5.92401,7.44433,2.3817,4.98006,6.28307,1.96712,6.61329,4.53648,6.47513,2.79347,8.11352,9.50124,5.8149,10.29208,5.33351,2.89669,3.9328,7.90284,5.73925,6.87789,3.14169,7.49495,3.11165,9.20713,7.20749,8.67672,1.81069,1.45443,9.25504,3.69028,10.55264,7.51045,8.12276,7.897,8.1385,5.48243,0.35762,5.95495,0.40183,3.36083,6.73672,2.47693,7.18993,8.07464,4.98924,3.68838,0.96529,0.30757,4.82277
R21043028,5.49523,7.01627,3.76988,4.79317,6.69784,1.55523,8.45701,4.58424,6.75024,2.95153,8.87499,9.45123,6.26956,9.86255,5.66605,4.16428,2.92104,8.93262,5.06178,6.88634,2.88501,7.62179,3.00711,10.38645,7.44903,10.21614,1.7676,1.50766,6.76145,3.11382,9.33391,6.93942,10.19887,9.16064,8.11321,4.86795,0.53615,7.98518,0.39032,3.36096,7.37053,2.39335,7.04327,8.52729,5.14125,3.16032,1.1338,-0.01885,4.93184
R21043030,3.98589,7.27124,1.44624,5.18132,6.13571,1.92803,6.92434,4.7286,6.64692,2.43551,7.55372,7.39922,4.33437,10.65013,5.52813,1.71055,2.53695,7.70059,5.72439,6.00339,3.55953,7.853,2.84483,9.15866,7.42745,7.39997,1.58113,1.27741,7.95982,3.37066,10.96836,7.35447,7.71811,6.78645,7.94573,5.63631,1.08956,4.94,0.54155,3.11736,7.59944,2.71992,7.05853,7.8727,5.0295,3.49077,0.80583,-0.34209,5.5662
R21043032,5.50904,6.56424,3.77024,4.28462,6.73423,1.8269,7.94358,3.23996,6.85275,3.02027,9.46343,9.24046,5.6271,9.99707,5.86032,4.34449,3.98974,7.92165,6.06215,8.32068,2.81996,7.50968,3.0502,10.52286,7.58068,10.72494,1.48733,1.37021,9.0716,2.76506,11.89392,7.08163,9.48919,9.73018,7.71337,5.73644,1.43183,8.19881,0.46267,3.2859,7.20598,1.80735,6.98395,7.94973,5.04637,3.1926,1.26882,0.59406,5.16836
R21043034,6.26009,7.29889,4.90694,5.18895,7.59606,2.41357,10.14572,5.64368,7.19276,3.38979,9.11535,11.56641,7.15032,9.61469,6.36265,4.83089,4.67845,8.46326,6.83828,9.10196,3.02447,8.81068,4.32549,10.35271,7.51033,11.08722,2.26317,2.09924,9.8545,3.61905,10.71594,7.05893,10.47091,9.84664,8.56913,5.17628,0.51308,8.9658,0.74026,4.21606,7.10424,2.79629,7.68547,9.2099,6.14203,3.87951,1.04312,1.76947,6.02129
R21043036,4.93348,6.93244,3.67537,4.79652,6.10295,1.61246,8.24951,3.20451,6.81832,2.92824,8.14011,10.37301,4.81659,10.17598,4.89465,2.53378,3.86512,8.38275,5.66782,7.53931,2.88662,7.38797,2.95944,10.11903,6.72725,9.47385,1.56129,1.33588,8.61657,3.35235,10.8162,7.35123,9.06302,8.19895,7.7172,5.46986,3.89348,7.56376,0.5212,3.06623,6.61774,2.57071,7.04752,7.74294,4.96999,3.71103,0.90291,-0.10825,4.73799
R21043038,3.63704,7.04549,0.87948,4.74908,6.10655,1.54659,7.4854,4.81166,6.26755,2.51796,8.15752,7.68727,4.85414,11.02179,5.39196,2.45584,3.98477,7.96553,5.39793,8.61663,2.75016,7.71159,3.355,7.50286,7.15713,5.25143,1.80618,1.70442,9.72134,3.70091,10.63172,7.30174,6.67664,5.58798,7.56413,5.38506,0.47409,2.79903,0.32184,3.47003,6.94127,2.23685,7.21077,8.03204,5.08869,3.58088,1.02229,1.10607,4.89466
R21043040,4.53309,6.72454,2.92216,4.6228,6.31824,1.55509,8.30347,4.0925,6.70359,2.30457,8.38454,10.19363,5.26466,10.03389,5.09528,2.71926,3.32699,7.18765,5.33137,6.33045,2.74407,7.73672,2.60255,10.18429,7.3145,9.07897,1.3345,1.6148,9.13679,3.10037,10.49268,7.08893,8.69485,8.46699,7.34658,5.18028,1.06932,6.91034,0.35258,3.21781,6.78342,2.19132,6.50469,7.59073,4.75515,3.14225,0.7879,0.89192,4.76504
R21043042,4.00356,7.22066,1.95481,4.69552,5.82734,1.892,8.44715,5.62985,6.56869,2.22189,8.34984,10.35319,4.82088,9.94954,5.25893,1.6314,3.43928,7.28293,5.19918,6.97557,2.57125,7.54598,2.62003,10.41332,7.3932,9.2983,1.60646,0.73875,9.06705,3.10834,10.30087,7.60727,9.50338,9.10919,7.49282,5.01116,0.33207,7.21094,0.23177,2.84354,7.27319,2.58802,6.74611,8.77556,4.7707,3.41334,0.84785,1.27568,5.33802
R21043044,5.11205,7.11492,2.33451,4.98824,6.16728,1.89634,8.06577,3.39461,6.60876,2.7331,8.60485,10.00599,4.93803,10.1085,5.24105,2.29489,4.18258,8.45798,5.50747,6.54665,2.94459,7.18403,3.08447,10.13412,7.30572,9.24985,1.42582,0.95533,9.37993,3.34807,10.34288,7.59766,7.7523,8.53798,7.67294,5.73842,-0.0444,7.43981,0.51813,3.11258,7.42369,2.34324,6.8047,7.35493,5.01268,3.88897,1.19893,0.27582,4.70439
