sample_id,P10145,Q07011,Q02763,P80098,P29965,P01583,Q9BZW8,P01133,Q15389,P13232,P49763,P05231,Q9Y653,P13500,O95727,O14625,Q99616,P50591,P09038,Q07325,P01732,Q16790,Q8WXI7,P00813,P01730,P29474,P60568,O00182,P35968,P25942,Q14116,P20718,P43629,P01137,P09341,O43557,O95760,O43508,P01127,Q15116,P48023,P10747,Q99731,P80075,P13236,P40933,P09382,Q9NZQ7,P26842,P42830,P05113,P14210,P12544,P09601,P78423,P02778,P32970,P22301,Q9NP84,P55773,P06127,P10147,P09237,P05089,O76036,P07585,O75509,P43489,"Q29983,Q29980",Q92583,O15123,P21246,P48061,P01579,Q9UQV4,Q14790,O75144,P39900,O43927,Q9BQ51,P15692,P05112,P18627,P42701,P35225,P78556,P01375,Q13241,P10144,Q01151,"P29459,P29460",P09603,Unnamed: 93,Unnamed: 94
R21043026,4.89898,6.01419,6.73672,1.35202,5.95495,-2.79663,5.65495,8.67672,7.897,3.03791,7.18993,2.89669,0.86801,10.55264,4.98924,9.29212,9.50697,7.51045,2.3817,7.05141,7.93556,3.9328,0.30757,4.06145,3.36083,1.88552,-0.47253,7.49495,7.20749,8.78787,8.07464,5.8149,1.69463,8.23917,8.12276,4.44041,0.36681,7.74373,9.20713,4.27203,5.48243,0.40183,7.77034,7.29755,6.34517,4.02993,6.47513,4.75742,8.1385,10.20221,0.35762,8.11352,6.28307,10.29208,6.22732,9.66237,3.11165,2.79347,3.68838,9.99834,4.7105,5.73925,9.25504,3.89767,3.14169,3.69028,7.44433,4.82277,5.00059,9.50124,4.30169,3.29636,0.96529,5.64071,4.53648,4.53867,4.98006,6.87789,7.90284,1.81069,6.61329,0.3221,1.96712,1.45443,0.41607,6.12544,2.12797,5.33351,5.92401,2.47693,5.64796,9.40197,plate1_1362562541.csv,Pass
R21043028,6.10887,5.49825,7.37053,1.29614,7.98518,-2.6627,6.26213,10.21614,9.16064,4.86663,7.04327,4.16428,1.5829,9.33391,5.14125,10.09127,8.62953,6.93942,3.76988,7.83889,8.58584,2.92104,-0.01885,5.27806,3.36096,2.32352,-0.83278,7.62179,7.44903,9.8549,8.52729,6.26956,0.46063,9.29039,10.19887,4.81704,0.606,8.1663,10.38645,4.34779,4.86795,0.39032,8.31236,7.07908,5.73662,3.69986,6.75024,5.20846,8.11321,11.63911,0.53615,8.87499,6.69784,9.86255,6.10004,11.20175,3.00711,2.95153,3.16032,9.5678,4.77783,5.06178,6.76145,3.2175,2.88501,3.11382,7.01627,4.93184,0.56222,9.45123,5.06209,2.62706,1.1338,6.31122,4.58424,4.78578,4.79317,6.88634,8.93262,1.7676,8.45701,-0.66375,1.55523,1.50766,-0.00857,9.15514,2.46813,5.66605,5.49523,2.39335,6.81496,9.82524,plate2_1362562385.csv,Pass
R21043030,4.44095,5.60867,7.59944,0.94615,4.94,-2.74069,5.82213,7.39997,6.78645,3.7822,7.05853,1.71055,1.00625,10.96836,5.0295,7.69477,8.80464,7.35447,1.44624,6.72431,9.17228,2.53695,-0.34209,4.25539,3.11736,1.87849,-0.16482,7.853,7.42745,9.09797,7.8727,4.33437,0.07399,7.6689,7.71811,3.27752,0.40543,8.61035,9.15866,4.45117,5.63631,0.54155,8.11249,6.81001,6.44055,3.6056,6.64692,4.61657,7.94573,9.95086,1.08956,7.55372,6.13571,10.65013,6.66632,9.08256,2.84483,2.43551,3.49077,9.43851,4.49708,5.72439,7.95982,2.69223,3.55953,3.37066,7.27124,5.5662,1.588,7.39922,4.58495,1.70433,0.80583,5.41518,4.7286,5.44081,5.18132,6.00339,7.70059,1.58113,6.92434,-0.56942,1.92803,1.27741,-0.12533,6.16322,2.61357,5.52813,3.98589,2.71992,6.83475,9.16964,plate1_1362562541.csv,Pass
R21043032,7.6427,5.4599,7.20598,2.49907,8.19881,-2.09092,5.98716,10.72494,9.73018,4.81568,6.98395,4.34449,1.29786,11.89392,5.04637,9.67177,9.2368,7.08163,3.77024,6.57848,8.39661,3.98974,0.59406,5.649,3.2859,2.37195,-0.16501,7.50968,7.58068,10.07584,7.94973,5.6271,2.40875,9.58154,9.48919,5.82763,0.53434,8.01244,10.52286,3.85996,5.73644,0.46267,8.49113,7.34004,6.92401,3.70127,6.85275,5.07131,7.71337,11.95174,1.43183,9.46343,6.73423,9.99707,5.44775,9.40971,3.0502,3.02027,3.1926,10.20322,5.05761,6.06215,9.0716,3.11649,2.81996,2.76506,6.56424,5.16836,4.9169,9.24046,5.43604,3.11038,1.26882,5.38844,3.23996,5.73757,4.28462,8.32068,7.92165,1.48733,7.94358,0.37731,1.8269,1.37021,0.72216,9.18583,2.71404,5.86032,5.50904,1.80735,6.23084,9.63688,plate1_1362562541.csv,Pass
R21043034,7.26992,6.62226,7.10424,2.59908,8.9658,-0.06198,6.94189,11.08722,9.84664,5.97526,7.68547,4.83089,3.76118,10.71594,6.14203,10.72327,10.66962,7.05893,4.90694,8.3531,9.77625,4.67845,1.76947,5.36741,4.21606,3.1731,-0.50596,8.81068,7.51033,10.4488,9.2099,7.15032,0.84504,10.0458,10.47091,6.0344,0.61753,8.37042,10.35271,4.95015,5.17628,0.74026,9.39526,7.87497,6.58767,4.09049,7.19276,6.22509,8.56913,11.92139,0.51308,9.11535,7.59606,9.61469,6.40131,10.53246,4.32549,3.38979,3.87951,10.73382,5.38582,6.83828,9.8545,1.09648,3.02447,3.61905,7.29889,6.02129,6.06409,11.56641,5.6119,3.68693,1.04312,6.06326,5.64368,6.15951,5.18895,9.10196,8.46326,2.26317,10.14572,0.39749,2.41357,2.09924,0.18909,8.48542,3.57668,6.36265,6.26009,2.79629,7.62235,9.78305,plate2_1362562385.csv,Pass
R21043036,5.35178,5.86844,6.61774,1.75922,7.56376,-2.3027,5.60631,9.47385,8.19895,4.36642,7.04752,2.53378,1.22474,10.8162,4.96999,7.86464,8.75606,7.35123,3.67537,7.53748,7.67806,3.86512,-0.10825,4.43138,3.06623,1.00408,0.40653,7.38797,6.72725,9.48179,7.74294,4.81659,0.5188,8.20102,9.06302,4.46709,0.62888,8.10553,10.11903,3.77108,5.46986,0.5212,8.70346,7.28549,6.11144,3.76133,6.81832,4.80898,7.7172,11.21867,3.89348,8.14011,6.10295,10.17598,5.57364,9.73798,2.95944,2.92824,3.71103,9.37038,4.3346,5.66782,8.61657,2.20214,2.88662,3.35235,6.93244,4.73799,3.31165,10.37301,5.34597,3.3697,0.90291,4.58672,3.20451,4.71365,4.79652,7.53931,8.38275,1.56129,8.24951,0.33151,1.61246,1.33588,0.90151,7.61078,2.43857,4.89465,4.93348,2.57071,6.03402,9.37822,plate2_1362562385.csv,Pass
R21043038,6.14246,6.00516,6.94127,1.78955,2.79903,-2.18047,5.08345,5.25143,5.58798,2.43666,7.21077,2.45584,1.90535,10.63172,5.08869,8.08635,7.95943,7.30174,0.87948,8.16661,8.34825,3.98477,1.10607,3.92915,3.47003,1.94332,-0.55028,7.71159,7.15713,9.21104,8.03204,4.85414,0.86453,7.18731,6.67664,3.33956,0.43351,7.48618,7.50286,4.28833,5.38506,0.32184,8.03741,6.79329,6.2177,3.57425,6.26755,4.38171,7.56413,6.53823,0.47409,8.15752,6.10655,11.02179,5.67753,9.79329,3.355,2.51796,3.58088,9.67901,4.17464,5.39793,9.72134,2.32257,2.75016,3.70091,7.04549,4.89466,0.4258,7.68727,5.19619,2.72478,1.02229,4.93922,4.81166,2.78435,4.74908,8.61663,7.96553,1.80618,7.4854,0.07477,1.54659,1.70442,0.14716,7.464,2.65736,5.39196,3.63704,2.23685,6.24256,9.36871,plate2_1362562385.csv,Pass
R21043040,5.59958,4.92705,6.78342,1.44002,6.91034,-1.34021,5.57711,9.07897,8.46699,4.26353,6.50469,2.71926,1.07282,10.49268,4.75515,9.29129,8.36213,7.08893,2.92216,6.29335,8.09596,3.32699,0.89192,4.42893,3.21781,2.16103,-0.52128,7.73672,7.3145,9.51512,7.59073,5.26466,1.03752,8.35183,8.69485,4.22717,0.47837,8.07173,10.18429,3.79327,5.18028,0.35258,8.12413,6.6536,6.63427,3.66925,6.70359,4.67659,7.34658,11.1961,1.06932,8.38454,6.31824,10.03389,5.84369,8.70623,2.60255,2.30457,3.14225,9.7733,3.94914,5.33137,9.13679,2.07436,2.74407,3.10037,6.72454,4.76504,0.49661,10.19363,4.49196,1.08412,0.7879,5.48584,4.0925,4.96733,4.6228,6.33045,7.18765,1.3345,8.30347,0.15026,1.55509,1.6148,0.96647,6.35105,2.37421,5.09528,4.53309,2.19132,6.16382,9.34945,plate2_1362562385.csv,Pass
R21043042,5.09819,5.37177,7.27319,1.94442,7.21094,-2.56134,5.88887,9.2983,9.10919,4.15857,6.74611,1.6314,2.18061,10.30087,4.7707,8.07641,9.2926,7.60727,1.95481,6.62459,7.96721,3.43928,1.27568,4.65202,2.84354,2.56421,0.18959,7.54598,7.3932,9.61869,8.77556,4.82088,2.64092,8.93321,9.50338,4.84655,0.27578,8.1038,10.41332,3.98849,5.01116,0.23177,8.72467,6.85862,5.74307,3.43971,6.56869,4.7048,7.49282,10.89214,0.33207,8.34984,5.82734,9.94954,5.52074,8.87055,2.62003,2.22189,3.41334,9.13708,4.61886,5.19918,9.06705,1.48501,2.57125,3.10834,7.22066,5.33802,3.96024,10.35319,5.35437,1.65218,0.84785,5.00293,5.62985,4.46073,4.69552,6.97557,7.28293,1.60646,8.44715,-0.2245,1.892,0.73875,-0.13798,5.82493,2.15704,5.25893,4.00356,2.58802,6.37464,8.98988,plate2_1362562385.csv,Pass
R21043044,4.96994,5.54274,7.42369,1.16354,7.43981,-2.50504,5.95695,9.24985,8.53798,4.27608,6.8047,2.29489,1.83906,10.34288,5.01268,8.62082,9.65166,7.59766,2.33451,6.18001,8.82572,4.18258,0.27582,4.63137,3.11258,1.70479,-0.46851,7.18403,7.30572,9.37322,7.35493,4.93803,0.73116,8.81846,7.7523,4.64596,0.49233,8.48254,10.13412,4.62394,5.73842,0.51813,11.694,7.48805,5.5441,3.70164,6.60876,4.75739,7.67294,11.86939,-0.0444,8.60485,6.16728,10.1085,5.7848,8.36084,3.08447,2.7331,3.88897,9.76162,4.50107,5.50747,9.37993,2.83864,2.94459,3.34807,7.11492,4.70439,3.83229,10.00599,5.59726,2.72134,1.19893,4.64963,3.39461,4.57256,4.98824,6.54665,8.45798,1.42582,8.06577,0.6379,1.89634,0.95533,0.7167,7.06332,2.50351,5.24105,5.11205,2.34324,5.92109,9.19859,plate2_1362562385.csv,Pass
