,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
C29ZV1CNT.01,4.32065,7.33379,-0.58329,5.52214,7.27875,2.15828,7.92172,5.92525,7.14007,2.58286,8.30234,10.62315,5.37545,10.88193,6.14718,5.14016,4.77931,8.16522,6.60482,7.3664,3.85005,8.17155,4.2859,9.34315,8.18515,7.72696,2.61654,1.4887,11.87486,4.7961,11.19864,8.39115,8.5172,8.93713,7.83414,5.6591,0.46453,5.63795,0.33441,4.00816,7.3799,3.27271,8.01043,9.65685,5.74196,5.30184,-0.14583,4.75807,5.91013
C29Z67GJS.01,4.86188,7.1652,-0.38229,5.52317,7.35392,2.13188,7.61419,6.6707,7.28317,3.72631,8.29525,10.42784,5.33194,11.77002,6.62027,3.83497,4.33398,8.62662,6.38787,8.27243,3.64145,8.5677,4.81408,9.99622,7.9042,9.28593,2.22972,1.32705,11.99937,4.55831,10.50064,7.99365,8.75534,9.85154,7.2712,6.2335,0.16371,7.37937,1.04904,3.61477,7.55598,3.1016,7.97871,9.40036,5.85041,5.37498,-0.24864,2.77756,6.36262
C29ZVFNVS.01,5.29245,7.00937,-0.53235,5.62405,7.18389,1.98677,8.02431,4.67853,7.04557,3.00334,7.74493,11.04411,4.78845,10.91299,5.4284,1.70915,3.56732,8.38912,6.49541,7.60652,4.04716,8.13665,3.76333,9.78695,8.0082,8.66333,1.28501,1.43256,11.15905,4.22788,10.81472,8.02401,7.92398,9.80688,7.94272,6.23786,0.33828,6.20408,1.1357,3.58944,7.28992,2.71529,7.79491,8.44432,4.91312,5.54915,-0.15378,2.65432,5.89392
C29Z18Z28.01,6.18878,7.36958,-0.62232,5.57262,6.66074,2.65604,7.81205,5.62744,7.32852,3.21662,8.68615,10.83186,3.94432,11.58019,6.101,3.64742,4.74964,8.19785,7.50174,7.51811,4.73021,8.46491,3.78689,9.70463,7.96405,8.94073,1.9531,1.48287,11.78184,4.48825,11.00696,7.87319,7.98908,9.47384,8.18025,6.48113,-0.96798,6.4139,0.67394,3.83818,7.49245,3.29268,8.33393,8.46555,6.13097,5.87926,0.02432,2.89701,6.64033
C29ZQBEEL.01,4.71296,7.5102,-0.28876,5.89478,7.16156,3.57929,8.33482,4.49324,7.37896,2.56796,9.2936,9.22427,4.19641,10.88094,6.45572,3.48398,3.6028,7.92709,6.28855,7.48265,4.57921,8.06569,3.65659,10.14509,8.61873,9.51021,2.4756,1.796,11.93527,4.50431,11.19739,8.45782,8.90949,10.04366,7.84906,6.38917,-0.31521,6.99592,0.87034,4.20469,7.92806,2.95548,7.958,8.57074,5.90619,5.08986,0.06714,3.22094,5.889
C29Z0FXHJ.01,5.73284,6.98624,-0.32011,5.79459,7.22446,2.70616,8.55215,5.23449,6.84698,3.92518,9.35492,11.70851,4.36344,10.76846,5.2581,5.11136,4.4645,10.69181,7.31949,7.48486,3.90172,8.28172,3.96041,9.80678,8.33046,8.89764,1.81285,1.64943,11.37588,4.56373,12.04775,9.22727,8.15789,9.23981,7.69208,6.64008,0.00402,6.65017,1.06548,4.37274,7.4168,2.75991,7.64123,9.01191,5.47319,4.35875,0.22599,3.28252,5.80645
C29ZV8Q2Z.01,3.89596,6.92417,-0.65697,5.3745,5.71271,3.46297,7.40516,4.53473,6.61329,2.36007,7.51465,12.18259,2.36357,11.27234,4.77541,6.12293,3.48415,7.12412,5.07282,6.76602,3.12524,7.55406,3.57905,8.19619,8.3034,6.81375,1.61849,0.82086,11.27348,4.38064,10.355,8.30503,7.66761,7.7392,7.499,5.30401,-0.53768,4.5729,0.13111,3.33428,7.05753,2.35972,7.87765,8.47317,4.72594,5.04229,-0.03487,2.5994,5.24044
C29ZR13CS.01,5.31294,7.14732,-0.51239,6.44966,7.09455,1.92557,7.96622,4.4313,6.40686,2.67016,9.50563,8.56279,5.1614,11.33372,6.95117,2.58416,4.10984,8.47771,6.27862,7.83919,4.01299,8.03383,3.26618,9.47259,7.85944,8.79832,2.05855,1.16227,11.93969,4.5192,10.29263,8.81733,8.45036,9.12219,7.75769,6.45087,0.10662,6.37572,0.89151,4.27526,7.7574,2.65615,8.03669,9.86154,5.63369,4.89556,-0.03057,3.5971,5.78185
C29Z897O8.01,4.86196,6.96862,-0.68909,5.08098,6.54445,1.39753,9.50412,4.41768,7.27832,3.78579,10.31827,10.32709,3.93075,11.16532,5.62028,5.08162,4.47053,8.65296,7.05546,7.20261,3.41555,8.05048,5.07063,10.43409,8.24114,10.79457,1.58601,1.53448,11.58411,4.94365,11.07845,7.98824,9.44322,10.87741,8.01266,5.45988,-0.80582,8.49634,0.21168,3.9725,7.15547,2.47003,8.14167,8.57067,4.64486,5.68183,-0.03387,6.02912,6.54306
C29ZNECV6.01,5.29619,7.60866,-0.77331,5.8321,6.81049,1.92941,8.01126,6.03268,7.44483,3.00819,8.50349,10.68769,5.08438,11.32151,6.23089,2.93257,4.96984,8.71991,6.25859,7.80609,3.95133,8.54101,4.76242,9.76544,7.99745,9.15259,2.03326,1.29842,12.61004,4.81557,10.65739,8.08588,7.99804,9.45592,8.33609,5.68083,2.0619,6.60784,0.77824,3.72366,7.39672,3.13098,8.24323,8.8479,6.02634,5.71128,-0.03043,2.80117,6.43135
