Sample_ID,Cancer,O00182,O43927,O75144,O75509,O76036,O95727,P01127,P01133,P01730,P05113,P05231,P07585,P09038,P09237,P09341,P09382,P09601,P10144,P10147,P10747,P12544,P13500,P14210,P15692,P18627,P20718,P22301,P26842,P29965,P32970,P35968,P39900,P42701,P43489,P48023,P48061,P49763,P50591,Q01151,Q02763,Q13241,Q14116,Q15389,Q16790,Q8WXI7,Q92583,Q9BQ51,Q9NP84,Q9UQV4
AML_1,AML,1.5923,3.1517,-0.4436,0.1274,-0.57045,1.29635,4.97385,5.5042,1.76855,0.12275,5.4329,-0.0091499999999999,4.72395,2.39395,4.6974,2.5264,1.81695,2.76585,1.1844,1.18575,1.8449,1.29145,3.54535,3.99795,0.81135,2.63535,4.2198,1.09365,5.3448,1.4657,0.83495,-0.365,1.08025,1.811,-0.4004,1.31355,1.23705,-0.9595,-0.8216,0.85,0.2094,1.0845,3.87015,-1.1462,2.4212,2.04445,0.50115,0.4492,-2.7778
AML_10,AML,1.1667,0.3065,0.10625,0.36865,-0.0882000000000001,0.1487,0.8392,1.60795,0.53895,0.72145,2.06735,0.1399,1.9694,2.06545,1.87625,0.76395,2.0461,2.8384,-0.28285,,0.0961,0.3817,2.1641,0.8893,0.40065,1.1294,3.7905,0.94245,0.7484,1.31625,0.31145,-1.4379,0.1449,1.8935,-0.31195,0.43805,1.3017,-0.48215,-0.13255,0.4762,-0.1125,0.0493999999999999,0.23345,0.0031999999999999,0.3153,0.83345,-0.12485,-0.0795,1.4669
AML_11,AML,1.41675,0.44485,0.0047,0.03025,0.1798,0.5592,1.62395,2.6982,1.2693,-0.79495,2.57755,-0.0095999999999999,3.8846,2.12725,2.2428,1.14435,0.56255,-0.17985,0.2643,1.0966,0.7931,-0.15605,1.43085,1.64555,0.56605,0.70275,2.7548,1.3836,3.2593,0.8122,0.45555,-0.30255,1.4261,1.07315,-1.04985,1.4797,1.9738,0.71025,0.1811,0.6146,0.4089,0.16355,1.1175,-0.35315,-1.6681,0.38805,0.02615,-0.16465,1.0576
AML_12,AML,0.98105,1.0981,0.3438,0.32815,-0.13315,,-3.2107,-1.52715,1.3116,1.12495,2.58495,0.25845,0.44685,2.27725,1.74255,,,0.2848,-0.04455,0.42825,0.5737,,0.80565,0.941,0.46575,0.98155,1.87775,1.091,-0.34215,0.46845,0.766,1.2396,0.4808,1.36825,-0.4766,0.23635,0.72035,0.3028,-0.3893,0.76085,0.85425,0.0316,-1.28095,-0.0726500000000001,-0.44885,-0.62225,0.1993,-0.07115,-0.5041
AML_13,AML,2.1388,3.8005,-0.4592,0.0457000000000001,-0.4247,-0.94935,3.5168,4.11555,2.06045,-0.4323,6.2795,0.20565,3.3766,1.88605,4.70935,2.3353,3.3359,3.46605,1.29675,0.3742,1.3847,2.005,2.86855,3.6626,0.77325,2.48735,3.5402,1.79415,4.4531,2.97715,-0.06465,2.4232,1.9422,0.71435,-0.89525,0.5094,1.65145,0.10115,-0.12205,0.53765,-0.26875,1.0281,1.89,-0.09185,-0.482,0.88205,0.85705,0.5448,0.5192
AML_14,AML,4.5651,1.2373,1.2381,1.2057,-0.11685,-0.1653,0.7772,2.2749,2.01405,1.0941,7.1221,0.97465,1.1599,2.6318,3.25515,1.9776,3.6206,1.89245,1.8736,0.6564,0.7314,3.06975,3.006,1.71955,-0.2836,1.3468,7.32445,1.0371,1.84985,0.8013,0.6019,1.3997,1.15735,2.16895,-0.9602,1.85885,1.97145,-0.44845,0.7514,1.29115,-0.83805,1.1933,1.31915,1.1544,0.34115,0.31695,0.2088,2.0033,-0.0271999999999999
AML_15,AML,3.17215,0.3957,-0.51475,1.18285,1.5708,1.2836,-0.52645,0.25475,2.03215,-1.03465,4.12415,0.2762,0.9909,2.74485,1.69685,1.89015,5.58515,3.926,1.07355,1.0168,2.5429,0.68,3.367,1.4801,1.9819,4.19025,4.1442,1.43125,0.40805,1.83685,-0.0025,1.2871,0.9703,1.4505,0.24485,-0.22255,1.1771,0.2892,1.1042,0.6901,1.3189,1.73905,0.7526,-0.475,1.3278,-0.37605,0.25185,0.4402,0.5736
AML_16,AML,1.33105,0.4054,0.06235,1.0402,0.11895,2.03875,-3.72715,-1.9597,1.2608,0.04065,2.14165,0.43815,0.7877,2.4119,1.25215,0.33845,2.13225,1.5086,0.92325,1.2083,1.7679,-0.0293,0.92555,1.33805,1.7087,1.427,4.76895,1.8616,-0.3853,2.5848,0.70485,0.22695,1.87235,1.94415,0.42695,0.12475,2.19285,0.42915,0.0591,0.56625,0.84855,1.57205,-2.9437,-0.12315,1.1097,-0.37655,0.6684,0.3244,0.083
AML_17,AML,3.26195,5.1031,,1.71945,1.86235,,1.65395,2.776,1.5849,-0.43865,2.03465,-0.11535,2.36595,1.8358,3.7251,2.1167,1.75215,2.20995,-0.03595,1.94095,1.08155,,1.51915,1.4663,,1.7045,4.87405,2.84105,2.99735,1.6619,0.2863,1.23445,1.7678,3.62975,0.66325,1.1577,1.89325,0.74135,1.70555,0.2785,2.1178,0.0863499999999999,1.6174,0.8036,,7.30745,,0.89465,1.6354
AML_18,AML,3.37575,1.41015,0.3999,1.01035,0.7239,0.8102,-2.32635,-0.7101,1.6195,0.19265,4.25985,1.1848,0.6666,2.46165,1.4312,2.31245,3.14175,1.26085,1.5133,1.3762,1.5574,1.22805,2.12965,1.95895,2.47325,2.61925,4.1694,3.4649,-0.3077,5.1669,-0.36305,1.43065,2.802,2.60485,-0.23135,-0.1951,2.6955,0.70735,0.3744,0.9314,1.5402,2.40685,-1.3081,1.35865,1.2928,-2.10125,0.86385,2.26055,1.0129
